system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,OGC_0,OGC_0_53,OGC_1_03,OGC_1_57,OGC_2_10,OGC_2_60,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,lavouras,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
0_00000000000000000dcb_0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,5,1,16.587526,35.573704,44.453472,41.835606,27.565804,7.0182343,0,0,4,0,0,10,1,1958,20,129,14,58.14,0,11.92,2.98,133,87,54,2.79,-4,-22,75.82,ctb0064-11722,-5,542,6063,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,13,9,0,172,20,6,59,0,30,4,0,11,164,0,1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.83566567555125,-16.587526468559584]}"
0_00000000000000001b31_0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7.7834077,26.636961,37.67444,39.16656,29.750124,13.237681,0,0,2,0,1,11,1,1958,20,135,4,9.59,0,5.85,1.25,188,116,72,1.6,2,-1,18.28,ctb0678-73,1,492,5971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,187,20,-1,67,0,8,0,0,3,101,0,1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.16659130337533,-7.783407863489391]}"
0_00000000000000001022_0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,2,0,7.533317,27.125864,38.737812,40.54988,31.068106,14.157104,0,0,2,0,1,8,1,1958,0,136,14,9.59,0,5.85,1.25,135,93,65,1.6,1,11,18.28,ctb0064-8944,0,649,6209,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,17,8,-3,0,188,0,-1,50,0,9,10,0,3,91,0,1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.54990700939098,-7.533316888390516]}"
1_00000000000000000dce_0,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,0,9,1,16.11079,34.24381,42.655926,40.029182,26.253624,6.509048,0,0,3,0,0,5,8,1959,20,139,9,74.1,0,19.6,8.2,213,54,65,4.6,32,56,106.4,ctb0064-11752,0,150,3524,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,0,0,174,20,-1,63,0,5,0,0,1,165,7,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.0292434707153,-16.110790547277354]}"
1_00000000000000000dd0_0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,5,1,16.587526,35.573704,44.453472,41.835606,27.565804,7.0182343,0,0,4,0,0,10,1,1959,20,129,14,58.14,0,11.92,2.98,133,87,54,2.79,-4,-22,75.82,ctb0064-11764,-5,542,3937,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,13,9,0,172,20,6,59,0,30,4,0,11,164,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.83566567555125,-16.587526468559584]}"
1_00000000000000000e40_0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,8,1,16.091927,34.581234,43.24433,40.72394,26.86123,6.8789425,0,0,0,0,0,11,6,1959,20,120,13,96.5,0,22.68,2.98,116,88,34,3.63,-38,-36,125.79,ctb0064-12603,2,441,4209,-2,0,0,0,0,0,1,0,0,1,0,0,0,0,20,0,-1,15,-30,0,146,0,0,56,0,90,-4,0,33,224,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.72400051145334,-16.091925926310847]}"
1_00000000000000000f90_0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,1,1,21.454329,41.47372,49.82394,45.196724,27.981441,4.5400977,0,0,1,0,0,5,0,1959,20,121,15,75.1,0,17.65,2.98,100,95,39,3.76,33,5,99.48,ctb0064-8048,2,892,4595,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,16,5,0,169,20,-1,52,0,14,4,0,5,211,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.19680214261285,-21.45432918333392]}"
1_00000000000000000f97_0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,1,1,20.97355,41.518913,50.355362,46.098454,29.002333,5.4129376,0,0,6,0,0,4,0,1959,20,119,15,43.49,0,15.42,4.26,96,63,57,5.33,9,-17,68.5,ctb0064-8081,10,821,6434,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,15,3,0,188,20,-2,52,0,28,-5,0,11,190,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.098531024812026,-20.97355084327315]}"
1_00000000000000001023_0,0,0,1,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,7.3832083,26.5386,37.886868,39.650036,30.369987,13.828257,0,0,2,0,0,5,3,1959,20,132,42,13.53,0,9.24,1.82,140,92,69,1.88,-16,2,26.47,ctb0064-8945,0,922,6944,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9,0,0,211,20,0,50,0,0,1,0,0,122,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.650064589288455,-7.383208404414143]}"
2_00000000000000001ba4_0,0,0,0,0,1,1,0,27,0,0,0,0,0,0,0,0,2,0,21.499874,47.097008,59.289288,56.1665,37.400375,10.0849085,0,0,4,0,0,8,4,1960,0,135,4,62.23,0,14.64,2.98,68,29,33,3.63,-19,-11,83.48,ctb0682-238,0,292,1702,4,0,20,0,0,0,1,0,0,0,0,1,0,0,0,20,4,13,1,0,158,0,2,53,0,4,2,0,1,137,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.16657923463839,-21.49987376823878]}"
2_00000000000000001ba3_0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,4,0,21.316618,46.95628,59.224766,56.199917,37.522427,10.259656,0,0,3,0,0,9,10,1960,0,133,4,69.2,20,15.22,7.61,101,36,54,11.17,25,-8,103.21,ctb0682-234,-1,224,1831,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20,0,13,5,0,175,0,0,55,0,15,0,0,6,138,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.199996563207634,-21.316617450278393]}"
2_00000000000000001ba2_0,0,0,0,0,1,1,0,17,0,0,0,0,0,0,0,1,3,0,21.450018,47.376476,59.809025,56.799812,37.970875,10.450201,0,0,3,0,0,39,3,1960,20,128,13,84.38,0,20.25,9.28,100,44,53,13.63,-6,-2,127.54,ctb0682-233,0,395,9895,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,16,-1,0,180,20,0,57,0,5,4,0,2,179,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.799891509942654,-21.450017269970143]}"
